,time,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
4586,1694062800000000,3,9,4,6,2,0,0,1,2,2,4,11,3,9,3,4,4,1,3,11,1,3,8,0,0,0,1,7,7,9,0,0,3,5,3,11
5160,1712883600000000,2,2,3,0,0,3,3,6,3,11,9,5,1,5,4,1,1,8,0,10,3,0,0,6,1,8,3,9,8,10,3,4,1,11,9,2
4271,1684134000000000,1,7,5,8,3,7,1,8,0,7,8,8,0,10,5,3,5,10,1,5,5,4,6,5,2,6,0,2,4,6,2,3,0,10,6,3
978,1577941200000000,3,9,4,4,8,5,0,1,2,10,3,3,3,9,3,6,6,2,3,11,1,8,2,7,0,0,1,5,3,4,0,0,3,7,5,8
5171,1713250800000000,1,11,1,0,0,3,1,0,5,11,9,5,0,11,2,1,1,8,1,9,4,0,0,6,2,1,2,9,8,10,2,1,4,11,9,2
5253,1715914800000000,0,5,5,8,0,1,2,3,0,7,9,9,2,2,5,3,1,0,2,7,5,4,0,1,3,4,0,2,8,11,1,8,0,10,9,9
4399,1688108400000000,1,1,1,3,2,10,1,9,5,5,4,4,0,0,2,8,4,7,1,1,4,6,8,2,2,11,2,10,7,3,2,9,4,2,3,6
2943,1641193200000000,1,9,1,4,0,5,1,1,5,10,9,3,0,9,2,6,1,2,1,11,4,8,0,7,2,0,2,5,8,4,2,0,4,7,9,8
5432,1720747200000000,2,11,0,9,7,10,3,0,4,1,1,4,1,11,0,9,7,7,0,9,0,11,9,2,1,1,5,0,0,3,3,1,5,0,0,6
344,1557810000000000,3,10,3,8,4,7,0,4,3,7,2,8,3,7,4,3,3,10,3,2,3,4,3,5,0,3,3,2,6,6,0,6,1,10,4,3
3372,1655269200000000,3,10,3,2,6,11,0,4,3,6,5,0,3,7,4,5,2,11,3,2,3,10,4,9,0,3,3,8,2,1,0,6,1,4,8,1
911,1575442800000000,1,10,1,10,8,9,1,4,5,4,3,1,0,7,2,7,6,9,1,2,4,2,2,11,2,3,2,3,3,0,2,6,4,6,5,0
4515,1691737200000000,1,0,1,5,2,11,1,11,5,3,4,0,0,1,2,2,4,11,1,0,4,7,8,9,2,9,2,4,7,1,2,11,4,8,3,1
47,1547708400000000,1,8,5,11,9,5,1,7,0,0,0,3,0,3,5,11,9,2,1,4,5,9,7,7,2,2,0,1,1,4,2,10,0,1,1,8
2500,1627002000000000,2,5,3,1,0,4,3,3,3,9,9,10,1,2,4,0,1,6,0,7,3,1,0,8,1,4,3,11,8,5,3,8,1,9,9,7
5343,1718067600000000,2,2,0,2,7,11,3,6,4,6,1,0,1,5,0,5,7,11,0,10,0,10,9,9,1,8,5,8,0,1,3,4,5,4,0,1
443,1560913200000000,0,10,5,2,8,6,2,4,0,6,3,2,2,7,5,5,6,4,2,2,5,10,2,3,3,3,0,8,3,7,1,6,0,4,5,5
2358,1622509200000000,2,0,0,5,9,4,3,11,4,3,0,10,1,1,0,2,9,6,0,0,0,7,7,8,1,9,5,4,1,5,3,11,5,8,1,7
1879,1606806000000000,1,8,5,10,3,3,1,7,0,4,8,5,0,3,5,7,5,8,1,4,5,2,6,6,2,2,0,3,4,10,2,10,0,6,6,2
5975,1742187600000000,3,7,3,4,6,1,0,8,3,10,5,9,3,10,4,6,2,0,3,5,3,8,4,1,0,6,3,5,2,11,0,3,1,7,8,9
4280,1684371600000000,2,7,0,8,3,7,3,8,4,7,8,8,1,10,0,3,5,10,0,5,0,4,6,5,1,6,5,2,4,6,3,3,5,10,6,3
3129,1647241200000000,1,8,1,4,8,5,1,7,5,10,3,3,0,3,2,6,6,2,1,4,4,8,2,7,2,2,2,5,3,4,2,10,4,7,5,8
2291,1620270000000000,0,8,2,8,9,7,2,7,1,7,0,8,2,3,1,3,9,10,2,4,2,4,7,5,3,2,4,2,1,6,1,10,2,10,1,3
3185,1648796400000000,1,6,1,2,8,6,1,2,5,6,3,2,0,4,2,5,6,4,1,3,4,10,2,3,2,7,2,8,3,7,2,5,4,4,5,5
4229,1682650800000000,0,9,2,9,3,10,2,1,1,1,8,4,2,9,1,9,5,7,2,11,2,11,6,2,3,0,4,0,4,3,1,0,2,0,6,6
4405,1688439600000000,0,10,5,3,2,10,2,4,0,5,4,4,2,7,5,8,4,7,2,2,5,6,8,2,3,3,0,10,7,3,1,6,0,2,3,6
5059,1709535600000000,1,2,1,8,0,1,1,6,5,7,9,9,0,5,2,3,1,0,1,10,4,4,0,1,2,8,2,2,8,11,2,4,4,10,9,9
2407,1623985200000000,0,7,5,2,0,6,2,8,0,6,9,2,2,10,5,5,1,4,2,5,5,10,0,3,3,6,0,8,8,7,1,3,0,4,9,5
1055,1580698800000000,0,4,5,0,5,3,2,10,0,11,6,5,2,6,5,1,8,8,2,8,5,0,5,6,3,5,0,9,5,10,1,7,0,11,2,2
848,1573606800000000,2,10,3,6,8,0,3,4,3,2,3,11,1,7,4,4,6,1,0,2,3,3,2,0,1,3,3,7,3,9,3,6,1,5,5,11
2828,1637542800000000,2,1,3,6,0,0,3,9,3,2,9,11,1,0,4,4,1,1,0,1,3,3,0,0,1,11,3,7,8,9,3,9,1,5,9,11
5523,1723532400000000,1,7,5,5,7,4,1,8,0,3,1,10,0,10,5,2,7,6,1,5,5,7,9,8,2,6,0,4,0,5,2,3,0,8,0,7
3053,1644908400000000,1,10,1,10,8,9,1,4,5,4,3,1,0,7,2,7,6,9,1,2,4,2,2,11,2,3,2,3,3,0,2,6,4,6,5,0
5162,1712898000000000,3,3,4,0,0,3,0,5,2,11,9,5,3,8,3,1,1,8,3,6,1,0,0,6,0,10,1,9,8,10,0,2,3,11,9,2
5764,1734922800000000,0,7,2,4,7,1,2,8,1,10,1,9,2,10,1,6,7,0,2,5,2,8,9,1,3,6,4,5,0,11,1,3,2,7,0,9
4398,1688101200000000,3,1,4,3,2,10,0,9,2,5,4,4,3,0,3,8,4,7,3,1,1,6,8,2,0,11,1,10,7,3,0,9,3,2,3,6
4796,1700802000000000,3,11,4,10,2,9,0,0,2,4,4,1,3,11,3,7,4,9,3,9,1,2,8,11,0,1,1,3,7,0,0,1,3,6,3,0
1112,1582261200000000,3,3,4,8,5,1,0,5,2,7,6,9,3,8,3,3,8,0,3,6,1,4,5,1,0,10,1,2,5,11,0,2,3,10,2,9
1295,1588129200000000,0,8,5,9,5,7,2,7,0,1,6,8,2,3,5,9,8,10,2,4,5,11,5,5,3,2,0,0,5,6,1,10,0,0,2,3
776,1571360400000000,2,7,3,1,8,4,3,8,3,9,3,10,1,10,4,0,6,6,0,5,3,1,2,8,1,6,3,11,3,5,3,3,1,9,5,7
5835,1737507600000000,2,4,3,0,0,3,3,10,3,11,9,5,1,6,4,1,1,8,0,8,3,0,0,6,1,5,3,9,8,10,3,7,1,11,9,2
183,1552359600000000,0,6,2,4,4,1,2,2,1,10,2,9,2,4,1,6,3,0,2,3,2,8,3,1,3,7,4,5,6,11,1,5,2,7,4,9
5998,1742871600000000,0,5,2,2,6,11,2,3,1,6,5,0,2,2,1,5,2,11,2,7,2,10,4,9,3,4,4,8,2,1,1,8,2,4,8,1
5045,1709089200000000,0,11,5,8,0,1,2,0,0,7,9,9,2,11,5,3,1,0,2,9,5,4,0,1,3,1,0,2,8,11,1,1,0,10,9,9
2698,1633323600000000,3,7,4,7,0,8,0,8,2,8,9,7,3,10,3,10,1,3,3,5,1,5,0,4,0,6,1,6,8,2,0,3,3,3,9,10
5689,1732597200000000,3,3,3,10,7,3,0,5,3,4,1,5,3,8,4,7,7,8,3,6,3,2,9,6,0,10,3,3,0,10,0,2,1,6,0,2
734,1569992400000000,3,6,4,7,8,8,0,2,2,8,3,7,3,4,3,10,6,3,3,3,1,5,2,4,0,7,1,6,3,2,0,5,3,3,5,10
4196,1681779600000000,2,2,0,0,3,6,3,6,4,11,8,2,1,5,0,1,5,4,0,10,0,0,6,3,1,8,5,9,4,7,3,4,5,11,6,5
4868,1703048400000000,3,4,4,7,2,8,0,10,2,8,4,7,3,6,3,10,4,3,3,8,1,5,8,4,0,5,1,6,7,2,0,7,3,3,3,10
1168,1583989200000000,3,8,4,4,5,5,0,7,2,10,6,3,3,3,3,6,8,2,3,4,1,8,5,7,0,2,1,5,5,4,0,10,3,7,2,8
2758,1635310800000000,3,6,4,11,0,2,0,2,2,0,9,6,3,4,3,11,1,5,3,3,1,9,0,10,0,7,1,1,8,8,0,5,3,1,9,4
4002,1675400400000000,3,9,3,0,3,6,0,1,3,11,8,2,3,9,4,1,5,4,3,11,3,0,6,3,0,0,3,9,4,7,0,0,1,11,6,5
4614,1695099600000000,3,9,4,3,2,10,0,1,2,5,4,4,3,9,3,8,4,7,3,11,1,6,8,2,0,0,1,10,7,3,0,0,3,2,3,6
485,1562223600000000,1,8,1,3,8,10,1,7,5,5,3,4,0,3,2,8,6,7,1,4,4,6,2,2,2,2,2,10,3,3,2,10,4,2,5,6
3139,1647486000000000,0,5,5,4,8,5,2,3,0,10,3,3,2,2,5,6,6,2,2,7,5,8,2,7,3,4,0,5,3,4,1,8,0,7,5,8
452,1561093200000000,3,0,4,2,8,6,0,11,2,6,3,2,3,1,3,5,6,4,3,0,1,10,2,3,0,9,1,8,3,7,0,11,3,4,5,5
2960,1641776400000000,2,6,3,11,0,2,3,2,3,0,9,6,1,4,4,11,1,5,0,3,3,9,0,10,1,7,3,1,8,8,3,5,1,1,9,4
1634,1598936400000000,3,1,3,6,3,2,0,9,3,2,8,6,3,0,4,4,5,5,3,1,3,3,6,10,0,11,3,7,4,8,0,9,1,5,6,4
5882,1739329200000000,0,4,2,10,6,3,2,10,1,4,5,5,2,6,1,7,2,8,2,8,2,2,4,6,3,5,4,3,2,10,1,7,2,6,8,2
30,1547182800000000,3,6,3,11,9,5,0,2,3,0,0,3,3,4,4,11,9,2,3,3,3,9,7,7,0,7,3,1,1,4,0,5,1,1,1,8
789,1571799600000000,0,5,5,1,8,4,2,3,0,9,3,10,2,2,5,0,6,6,2,7,5,1,2,8,3,4,0,11,3,5,1,8,0,9,5,7
5280,1716858000000000,2,0,3,5,0,11,3,11,3,3,9,0,1,1,4,2,1,11,0,0,3,7,0,9,1,9,3,4,8,1,3,11,1,8,9,1
5176,1713402000000000,2,7,3,0,0,3,3,8,3,11,9,5,1,10,4,1,1,8,0,5,3,0,0,6,1,6,3,9,8,10,3,3,1,11,9,2
1902,1607490000000000,3,11,3,7,3,9,0,0,3,8,8,1,3,11,4,10,5,9,3,9,3,5,6,11,0,1,3,6,4,0,0,1,1,3,6,0
1109,1582182000000000,1,5,1,8,5,1,1,3,5,7,6,9,0,2,2,3,8,0,1,7,4,4,5,1,2,4,2,2,5,11,2,8,4,10,2,9
100,1549861200000000,3,2,3,10,4,3,0,6,3,4,2,5,3,5,4,7,3,8,3,10,3,2,3,6,0,8,3,3,6,10,0,4,1,6,4,2
5877,1739235600000000,2,6,0,10,6,3,3,2,4,4,5,5,1,4,0,7,2,8,0,3,0,2,4,6,1,7,5,3,2,10,3,5,5,6,8,2
2794,1636434000000000,3,7,4,6,0,0,0,8,2,2,9,11,3,10,3,4,1,1,3,5,1,3,0,0,0,6,1,7,8,9,0,3,3,5,9,11
3341,1654153200000000,1,11,1,5,8,11,1,0,5,3,3,0,0,11,2,2,6,11,1,9,4,7,2,9,2,1,2,4,3,1,2,1,4,8,5,1
5433,1720754400000000,0,0,2,9,7,10,2,11,1,1,1,4,2,1,1,9,7,7,2,0,2,11,9,2,3,9,4,0,0,3,1,11,2,0,0,6
1992,1610586000000000,2,1,0,11,3,5,3,9,4,0,8,3,1,0,0,11,5,2,0,1,0,9,6,7,1,11,5,1,4,4,3,9,5,1,6,8
5652,1727830800000000,2,6,0,7,7,9,3,2,4,8,1,1,1,4,0,10,7,9,0,3,0,5,9,11,1,7,5,6,0,0,3,5,5,3,0,0
4557,1693191600000000,0,3,5,6,2,0,2,5,0,2,4,11,2,8,5,4,4,1,2,6,5,3,8,0,3,10,0,7,7,9,1,2,0,5,3,11
1926,1608181200000000,3,3,3,7,3,9,0,5,3,8,8,1,3,8,4,10,5,9,3,6,3,5,6,11,0,10,3,6,4,0,0,2,1,3,6,0
861,1574046000000000,0,1,5,6,8,0,2,9,0,2,3,11,2,0,5,4,6,1,2,1,5,3,2,0,3,11,0,7,3,9,1,9,0,5,5,11
1695,1600758000000000,1,9,5,3,3,0,1,1,0,5,8,11,0,9,5,8,5,1,1,11,5,6,6,0,2,0,0,10,4,9,2,0,0,2,6,11
903,1575270000000000,1,7,1,10,8,9,1,8,5,4,3,1,0,10,2,7,6,9,1,5,4,2,2,11,2,6,2,3,3,0,2,3,4,6,5,0
2164,1616043600000000,3,0,3,4,9,1,0,11,3,10,0,9,3,1,4,6,9,0,3,0,3,8,7,1,0,9,3,5,1,11,0,11,1,7,1,9
109,1550041200000000,1,5,5,10,4,3,1,3,0,4,2,5,0,2,5,7,3,8,1,7,5,2,3,6,2,4,0,3,6,10,2,8,0,6,4,2
